mode	unit	index	question	answer	options	unitLabel	passageTitle
MATH_G1_U01	かずとすうじ（10までの かず）	0	まるが 3こ あります。かずで いうと？	3	3 | 2 | 4 | 0		
MATH_G1_U01	かずとすうじ（10までの かず）	1	おさらの うえに クッキーが ありません。かずで いうと？	0	0 | 1 | 10 | 3		
MATH_G1_U01	かずとすうじ（10までの かず）	2	りんごが 5こ あります。さいごに よむ かずは？	5	5 | 4 | 6 | 1		
MATH_G1_U01	かずとすうじ（10までの かず）	3	1、2、3、4、5 と ならんでいます。5の ひとつ まえは？	4	4 | 5 | 6 | 3		
MATH_G1_U01	かずとすうじ（10までの かず）	4	あかい まるが 3こ、あおい まるが 2こ。おおいのは どちら？	あか	あか | あお | おなじ | どちらでもない		
MATH_G1_U01	かずとすうじ（10までの かず）	5	カードに 7 と かいてあります。7の つぎの かずは？	8	8 | 6 | 7 | 9		
MATH_G1_U01	かずとすうじ（10までの かず）	6	4こ ある みかんを、1、2、3、4 と かぞえます。さいごの かずは？	4	4 | 3 | 5 | 1		
MATH_G1_U01	かずとすうじ（10までの かず）	7	ゆびを 6ぽん かぞえました。かずで えらぶと？	6	6 | 5 | 4 | 7		
MATH_G1_U01	かずとすうじ（10までの かず）	8	ほしが 9こ あります。かずで えらぶと？	9	9 | 8 | 10 | 6		
MATH_G1_U01	かずとすうじ（10までの かず）	9	1、3、5、7 の なかで、いちばん おおきい かずは？	7	7 | 5 | 3 | 1		
MATH_G1_U01	かずとすうじ（10までの かず）	10	8、6、4、2 の なかで、いちばん ちいさい かずは？	2	2 | 4 | 6 | 8		
MATH_G1_U01	かずとすうじ（10までの かず）	11	さいころの めが 3、もうひとつも 3。くらべると？	おなじ	おなじ | ちがう | ひとつ おおい | ひとつ すくない		
MATH_G1_U01	かずとすうじ（10までの かず）	12	1から 10まで かぞえるとき、6の つぎに よむ かずは？	7	7 | 5 | 6 | 8		
MATH_G1_U01	かずとすうじ（10までの かず）	13	まるが 10こ あります。かずで えらぶと？	10	10 | 9 | 8 | 1		
MATH_G1_U01	かずとすうじ（10までの かず）	14	あさがおが 4つ、ひまわりが 4つ。どちらが おおい？	おなじ	おなじ | あさがお | ひまわり | わからない		
MATH_G1_U01	かずとすうじ（10までの かず）	15	1、2、3、4 と ならんでいます。4の ひとつ まえは？	3	3 | 4 | 2 | 5		
MATH_G1_U01	かずとすうじ（10までの かず）	16	まるが 2こ あります。かずで えらぶと？	2	2 | 1 | 3 | 0		
MATH_G1_U01	かずとすうじ（10までの かず）	17	バスに 5にん のっています。いまの にんずうは？	5にん	5にん | 0にん | 6にん | 4にん		
MATH_G1_U01	かずとすうじ（10までの かず）	18	1、2、3、4、5、6、7、8、9、10。10までに でてこない かずは？	11	11 | 8 | 10 | 1		
MATH_G1_U01	かずとすうじ（10までの かず）	19	はなが 6ぽん あります。かぞえる ときに たいせつな ことは？	1ぽんずつ じゅんに かぞえる	1ぽんずつ じゅんに かぞえる | いそいで とばす | さいごだけ よむ | いろだけ みる		
MATH_G1_U01	かずとすうじ（10までの かず）	20	3の つぎの かずは？	4	4 | 3 | 5 | 2		
MATH_G1_U01	かずとすうじ（10までの かず）	21	4の つぎの かずは？	5	5 | 4 | 6 | 3		
MATH_G1_U01	かずとすうじ（10までの かず）	22	5の つぎの かずは？	6	6 | 5 | 7 | 4		
MATH_G1_U01	かずとすうじ（10までの かず）	23	6の つぎの かずは？	7	7 | 6 | 8 | 5		
MATH_G1_U01	かずとすうじ（10までの かず）	24	7の つぎの かずは？	8	8 | 7 | 9 | 6		
MATH_G1_U01	かずとすうじ（10までの かず）	25	8の つぎの かずは？	9	9 | 8 | 10 | 7		
MATH_G1_U01	かずとすうじ（10までの かず）	26	9の つぎの かずは？	10	10 | 9 | 11 | 8		
MATH_G1_U01	かずとすうじ（10までの かず）	27	2の ひとつ まえの かずは？	1	1 | 2 | 0 | 3		
MATH_G1_U01	かずとすうじ（10までの かず）	28	3の ひとつ まえの かずは？	2	2 | 3 | 1 | 4		
MATH_G1_U01	かずとすうじ（10までの かず）	29	4の ひとつ まえの かずは？	3	3 | 4 | 2 | 5		
MATH_G1_U01	かずとすうじ（10までの かず）	30	5の ひとつ まえの かずは？	4	4 | 5 | 3 | 6		
MATH_G1_U01	かずとすうじ（10までの かず）	31	6の ひとつ まえの かずは？	5	5 | 6 | 4 | 7		
MATH_G1_U01	かずとすうじ（10までの かず）	32	7の ひとつ まえの かずは？	6	6 | 7 | 5 | 8		
MATH_G1_U01	かずとすうじ（10までの かず）	33	8の ひとつ まえの かずは？	7	7 | 8 | 6 | 9		
MATH_G1_U01	かずとすうじ（10までの かず）	34	9の ひとつ まえの かずは？	8	8 | 9 | 7 | 10		
MATH_G1_U01	かずとすうじ（10までの かず）	35	10の ひとつ まえの かずは？	9	9 | 10 | 8 | 11		
MATH_G1_U01	かずとすうじ（10までの かず）	36	1の つぎの かずは？	2	2 | 1 | 3 | 0		
MATH_G1_U01	かずとすうじ（10までの かず）	37	2の つぎの かずは？	3	3 | 2 | 4 | 1		
MATH_G1_U02	いくつといくつ	0	5は 2と なに？	3	3 | 2 | 4 | 5		
MATH_G1_U02	いくつといくつ	1	6は 1と なに？	5	5 | 4 | 6 | 1		
MATH_G1_U02	いくつといくつ	2	7は 3と なに？	4	4 | 3 | 5 | 7		
MATH_G1_U02	いくつといくつ	3	8は 5と なに？	3	3 | 2 | 4 | 5		
MATH_G1_U02	いくつといくつ	4	9は 4と なに？	5	5 | 4 | 6 | 9		
MATH_G1_U02	いくつといくつ	5	10は 6と なに？	4	4 | 3 | 5 | 6		
MATH_G1_U02	いくつといくつ	6	4は 1と なに？	3	3 | 2 | 1 | 4		
MATH_G1_U02	いくつといくつ	7	3は 2と なに？	1	1 | 2 | 3 | 0		
MATH_G1_U02	いくつといくつ	8	10は 8と なに？	2	2 | 1 | 3 | 8		
MATH_G1_U02	いくつといくつ	9	9は 7と なに？	2	2 | 1 | 3 | 7		
MATH_G1_U02	いくつといくつ	10	6は 3と なに？	3	3 | 2 | 4 | 6		
MATH_G1_U02	いくつといくつ	11	8は 4と なに？	4	4 | 3 | 5 | 8		
MATH_G1_U02	いくつといくつ	12	7は 1と なに？	6	6 | 5 | 7 | 1		
MATH_G1_U02	いくつといくつ	13	5は 0と なに？	5	5 | 0 | 4 | 1		
MATH_G1_U02	いくつといくつ	14	10は 5と なに？	5	5 | 4 | 6 | 10		
MATH_G1_U02	いくつといくつ	15	2は 1と なに？	1	1 | 2 | 0 | 3		
MATH_G1_U02	いくつといくつ	16	8は 2と なに？	6	6 | 5 | 7 | 2		
MATH_G1_U02	いくつといくつ	17	9は 6と なに？	3	3 | 2 | 4 | 6		
MATH_G1_U02	いくつといくつ	18	7は 5と なに？	2	2 | 1 | 3 | 5		
MATH_G1_U02	いくつといくつ	19	10は 9と なに？	1	1 | 0 | 2 | 9		
MATH_G1_U02	いくつといくつ	20	8は 7 と なに？	1	1 | 2 | 7 | 0		
MATH_G1_U02	いくつといくつ	21	8は 1 と なに？	7	7 | 8 | 1 | 6		
MATH_G1_U02	いくつといくつ	22	8は 2 と なに？	6	6 | 7 | 2 | 5		
MATH_G1_U02	いくつといくつ	23	8は 3 と なに？	5	5 | 6 | 3 | 4		
MATH_G1_U02	いくつといくつ	24	9は 1 と なに？	8	8 | 9 | 1 | 7		
MATH_G1_U02	いくつといくつ	25	9は 2 と なに？	7	7 | 8 | 2 | 6		
MATH_G1_U02	いくつといくつ	26	9は 3 と なに？	6	6 | 7 | 3 | 5		
MATH_G1_U02	いくつといくつ	27	9は 4 と なに？	5	5 | 6 | 4 | 7		
MATH_G1_U02	いくつといくつ	28	9は 5 と なに？	4	4 | 5 | 3 | 6		
MATH_G1_U02	いくつといくつ	29	9は 6 と なに？	3	3 | 4 | 6 | 2		
MATH_G1_U02	いくつといくつ	30	10は 4 と なに？	6	6 | 7 | 4 | 5		
MATH_G1_U02	いくつといくつ	31	10は 5 と なに？	5	5 | 6 | 4 | 7		
MATH_G1_U02	いくつといくつ	32	10は 6 と なに？	4	4 | 5 | 6 | 3		
MATH_G1_U02	いくつといくつ	33	10は 7 と なに？	3	3 | 4 | 7 | 2		
MATH_G1_U02	いくつといくつ	34	10は 8 と なに？	2	2 | 3 | 8 | 1		
MATH_G1_U02	いくつといくつ	35	10は 9 と なに？	1	1 | 2 | 9 | 0		
MATH_G1_U02	いくつといくつ	36	5は 1 と なに？	4	4 | 5 | 1 | 3		
MATH_G1_U02	いくつといくつ	37	5は 2 と なに？	3	3 | 4 | 2 | 5		
MATH_G1_U02	いくつといくつ	38	5は 3 と なに？	2	2 | 3 | 1 | 4		
MATH_G1_U02	いくつといくつ	39	5は 4 と なに？	1	1 | 2 | 4 | 0		
MATH_G1_U02	いくつといくつ	40	6は 3 と なに？	3	3 | 4 | 2 | 5		
MATH_G1_U02	いくつといくつ	41	6は 4 と なに？	2	2 | 3 | 4 | 1		
MATH_G1_U02	いくつといくつ	42	6は 5 と なに？	1	1 | 2 | 5 | 0		
MATH_G1_U02	いくつといくつ	43	6は 1 と なに？	5	5 | 6 | 1 | 4		
MATH_G1_U02	いくつといくつ	44	6は 2 と なに？	4	4 | 5 | 2 | 3		
MATH_G1_U02	いくつといくつ	45	7は 1 と なに？	6	6 | 7 | 1 | 5		
MATH_G1_U02	いくつといくつ	46	7は 2 と なに？	5	5 | 6 | 2 | 4		
MATH_G1_U02	いくつといくつ	47	7は 3 と なに？	4	4 | 5 | 3 | 6		
MATH_G1_U02	いくつといくつ	48	7は 4 と なに？	3	3 | 4 | 2 | 5		
MATH_G1_U02	いくつといくつ	49	7は 5 と なに？	2	2 | 3 | 5 | 1		
MATH_G1_U03	かたちあそび	0	ころころ ころがる かたちは どれ？	ぼーる	ぼーる | のーと | つみきの はこ | さんかくじょうぎ		
MATH_G1_U03	かたちあそび	1	かどが ある かたちは どれ？	しかくい はこ	しかくい はこ | ぼーる | みかん | びーだま		
MATH_G1_U03	かたちあそび	2	さんかくに にている ものは？	さんかく じょうぎ	さんかく じょうぎ | ボール | コップ | まるい さら		
MATH_G1_U03	かたちあそび	3	まるに にている ものは？	びーだま	びーだま | のーと | つくえ | えんぴつの はこ		
MATH_G1_U03	かたちあそび	4	しかくに にている ものは？	のーと	のーと | ぼーる | みかん | わっか		
MATH_G1_U03	かたちあそび	5	たいらな ところに すわりやすい かたちは？	はこ	はこ | ぼーる | びーだま | たま		
MATH_G1_U03	かたちあそび	6	つみやすい かたちは どれ？	しかくい つみき	しかくい つみき | ぼーる | みかん | びーだま		
MATH_G1_U03	かたちあそび	7	ころがりやすい ものは どれ？	たま	たま | のーと | はこ | つくえ		
MATH_G1_U03	かたちあそび	8	ながくて ころがる ものは？	えんぴつ	えんぴつ | のーと | けしごむ | おりがみ		
MATH_G1_U03	かたちあそび	9	しかくい かみは どれ？	おりがみ	おりがみ | ぼーる | びーだま | みかん		
MATH_G1_U03	かたちあそび	10	まるい さらの かたちに ちかいのは？	まる	まる | さんかく | しかく | ぎざぎざ		
MATH_G1_U03	かたちあそび	11	やねの えに よく つかう かたちは？	さんかく	さんかく | まる | ながい まる | ばつ		
MATH_G1_U03	かたちあそび	12	はこの めんに よく ある かたちは？	しかく	しかく | まる | さんかく | せん		
MATH_G1_U03	かたちあそび	13	ぼーるを つみきの うえに おくと どうなりやすい？	ころがる	ころがる | ぴったり とまる | しかくに なる | なくなる		
MATH_G1_U03	かたちあそび	14	はこを つくえに おくと どうなりやすい？	とまりやすい	とまりやすい | すぐ ころがる | まるくなる | うく		
MATH_G1_U03	かたちあそび	15	こっぷの くちの かたちに ちかいのは？	まる	まる | さんかく | しかく | ほし		
MATH_G1_U03	かたちあそび	16	さんかくの かどは いくつ？	3つ	3つ | 4つ | 2つ | 0つ		
MATH_G1_U03	かたちあそび	17	しかくの かどは いくつ？	4つ	4つ | 3つ | 5つ | 0つ		
MATH_G1_U03	かたちあそび	18	まるの かどは いくつ？	0つ	0つ | 1つ | 3つ | 4つ		
MATH_G1_U03	かたちあそび	19	かたちを くらべる とき、まず みると よいのは？	まるいか かどがあるか	まるいか かどがあるか | いろだけ | なまえの ながさ | おと		
MATH_G1_U03	かたちあそび	20	さんかくに にている ものは？	さんかくの はた	さんかくの はた | ビー玉 | えほん | コップ		
MATH_G1_U03	かたちあそび	21	まるに にている ものは？	まるい さら	まるい さら | しかくい はこ | やねの かたち | つくえ		
MATH_G1_U03	かたちあそび	22	しかくに にている ものは？	しかくい はこ	しかくい はこ | まるい さら | やねの かたち | たま		
MATH_G1_U03	かたちあそび	23	さんかくに にている ものは？	やねの かたち	やねの かたち | まるい さら | しかくい はこ | コップ		
MATH_G1_U03	かたちあそび	24	まるに にている ものは？	ボール	ボール | ノート | さんかく じょうぎ | つくえ		
MATH_G1_U03	かたちあそび	25	しかくに にている ものは？	ノート	ノート | ボール | さんかく じょうぎ | たま		
MATH_G1_U03	かたちあそび	26	さんかくに にている ものは？	さんかく じょうぎ	さんかく じょうぎ | ボール | ノート | コップ		
MATH_G1_U03	かたちあそび	27	まるに にている ものは？	みかん	みかん | おりがみ | おにぎり | つくえ		
MATH_G1_U03	かたちあそび	28	しかくに にている ものは？	おりがみ	おりがみ | みかん | おにぎり | たま		
MATH_G1_U03	かたちあそび	29	さんかくに にている ものは？	おにぎり	おにぎり | みかん | おりがみ | コップ		
MATH_G1_U03	かたちあそび	30	まるに にている ものは？	ビー玉	ビー玉 | えほん | さんかくの はた | つくえ		
MATH_G1_U03	かたちあそび	31	しかくに にている ものは？	えほん	えほん | ビー玉 | さんかくの はた | たま		
MATH_G1_U04	なんばんめ	0	ねこ、いぬ、うさぎ。まえから 2ばんめは？	いぬ	いぬ | ねこ | うさぎ | 2		
MATH_G1_U04	なんばんめ	1	あか、あお、きいろ、みどり。3ばんめは？	きいろ	きいろ | あか | あお | みどり		
MATH_G1_U04	なんばんめ	2	1、2、3、4、5。4ばんめの かずは？	4	4 | 3 | 5 | 2		
MATH_G1_U04	なんばんめ	3	りんご、みかん、ばなな。さいしょは？	りんご	りんご | みかん | ばなな | なし		
MATH_G1_U04	なんばんめ	4	りんご、みかん、ばなな。さいごは？	ばなな	ばなな | りんご | みかん | なし		
