mode	grade	subject	title	priority	problemCount	visualProblemCount	currentKinds	recommendedKinds	rendererFamilies	needsNewVisual	needsDisplayUpgrade	reason
ENGLISH_G3_U01	3	ENGLISH	あいさつ	C	90	0						会話・語彙・表現そのものを中心にし、必要なら静止イラストを使う。
ENGLISH_G3_U02	3	ENGLISH	じこしょうかい	C	56	0						会話・語彙・表現そのものを中心にし、必要なら静止イラストを使う。
ENGLISH_G3_U03	3	ENGLISH	すきなもの	C	56	0						会話・語彙・表現そのものを中心にし、必要なら静止イラストを使う。
ENGLISH_G3_U04	3	ENGLISH	かぞく	B	64	0		picture_card,category_grid	english-support			語彙の意味確認に視覚支援は有効だが、動的生成は限定的でよい。
ENGLISH_G3_U05	3	ENGLISH	いろ	B	80	0		picture_card,category_grid	english-support			語彙の意味確認に視覚支援は有効だが、動的生成は限定的でよい。
ENGLISH_G3_U06	3	ENGLISH	かず	B	160	0		picture_card,category_grid	english-support			語彙の意味確認に視覚支援は有効だが、動的生成は限定的でよい。
ENGLISH_G3_U07	3	ENGLISH	どうぶつ	B	96	0		picture_card,category_grid	english-support			語彙の意味確認に視覚支援は有効だが、動的生成は限定的でよい。
ENGLISH_G3_U08	3	ENGLISH	くだもの・たべもの	B	104	0		picture_card,category_grid	english-support			語彙の意味確認に視覚支援は有効だが、動的生成は限定的でよい。
ENGLISH_G3_U09	3	ENGLISH	きぶん	C	72	0						会話・語彙・表現そのものを中心にし、必要なら静止イラストを使う。
ENGLISH_G3_U10	3	ENGLISH	からだのぶぶん	B	80	0		body_label	english-support			部位と英単語を対応させる問題で有効。
ENGLISH_G3_U11	3	ENGLISH	リスニングまとめ	C	206	0						音声・発話・本文を主役にし、動的visualは原則使わない。
ENGLISH_G3_U12	3	ENGLISH	声に出すまとめ	C	210	0						音声・発話・本文を主役にし、動的visualは原則使わない。
ENGLISH_G3_U13	3	ENGLISH	まねして言う問題まとめ	C	315	0						音声・発話・本文を主役にし、動的visualは原則使わない。
ENGLISH_G3_U14	3	ENGLISH	こたえる問題まとめ	C	18	0						音声・発話・本文を主役にし、動的visualは原則使わない。
ENGLISH_G4_U01	4	ENGLISH	あいさつと会話	C	74	0						会話・語彙・表現そのものを中心にし、必要なら静止イラストを使う。
ENGLISH_G4_U02	4	ENGLISH	すきな教科	B	63	0		picture_card,category_grid	english-support			語彙の意味確認に視覚支援は有効だが、動的生成は限定的でよい。
ENGLISH_G4_U03	4	ENGLISH	一日の生活	B	72	0		clock,schedule_timeline,calendar	english-support,flow-diagram,specialized			時刻・曜日・日付を扱う設問に限定して有効。
ENGLISH_G4_U04	4	ENGLISH	天気	B	72	0		picture_card,category_grid	english-support			語彙の意味確認に視覚支援は有効だが、動的生成は限定的でよい。
ENGLISH_G4_U05	4	ENGLISH	時こく	B	81	0		clock,schedule_timeline,calendar	english-support,flow-diagram,specialized			時刻・曜日・日付を扱う設問に限定して有効。
ENGLISH_G4_U06	4	ENGLISH	文ぼうぐ	B	72	0		picture_card,category_grid	english-support			語彙の意味確認に視覚支援は有効だが、動的生成は限定的でよい。
ENGLISH_G4_U07	4	ENGLISH	場所	B	71	0		picture_card	english-support			実データは場所を表す語彙問題が中心。静止絵カードは有効だが、動的Canvasを標準化する必要性は低い。
ENGLISH_G4_U08	4	ENGLISH	学校の中	B	60	0		picture_card	english-support			実データは場所を表す語彙問題が中心。静止絵カードは有効だが、動的Canvasを標準化する必要性は低い。
ENGLISH_G4_U09	4	ENGLISH	すきな食べ物	C	86	0						会話・語彙・表現そのものを中心にし、必要なら静止イラストを使う。
ENGLISH_G4_U10	4	ENGLISH	日本の文化しょうかい	C	60	0						会話・語彙・表現そのものを中心にし、必要なら静止イラストを使う。
ENGLISH_G4_U11	4	ENGLISH	リスニング総仕上げ	C	170	0						音声・発話・本文を主役にし、動的visualは原則使わない。
ENGLISH_G4_U12	4	ENGLISH	発声総仕上げ	C	172	0						音声・発話・本文を主役にし、動的visualは原則使わない。
ENGLISH_G4_U13	4	ENGLISH	復唱問題総仕上げ	C	258	0						音声・発話・本文を主役にし、動的visualは原則使わない。
ENGLISH_G4_U14	4	ENGLISH	応答問題総仕上げ	C	18	0						音声・発話・本文を主役にし、動的visualは原則使わない。
ENGLISH_G5_U01	5	ENGLISH	アルファベット	B	208	0		letter_grid,letter_case_pair	english-support			大文字小文字・並び順を扱う問題に有効。
ENGLISH_G5_U02	5	ENGLISH	自己紹介	C	48	0						会話・語彙・表現そのものを中心にし、必要なら静止イラストを使う。
ENGLISH_G5_U03	5	ENGLISH	家族	B	48	0		picture_card,category_grid	english-support			語彙の意味確認に視覚支援は有効だが、動的生成は限定的でよい。
ENGLISH_G5_U04	5	ENGLISH	誕生日	B	96	0		clock,schedule_timeline,calendar	english-support,flow-diagram,specialized			時刻・曜日・日付を扱う設問に限定して有効。
ENGLISH_G5_U05	5	ENGLISH	好きなもの	C	64	0						会話・語彙・表現そのものを中心にし、必要なら静止イラストを使う。
ENGLISH_G5_U06	5	ENGLISH	学校生活	C	72	0						会話・語彙・表現そのものを中心にし、必要なら静止イラストを使う。
ENGLISH_G5_U07	5	ENGLISH	曜日	B	56	0		clock,schedule_timeline,calendar	english-support,flow-diagram,specialized			時刻・曜日・日付を扱う設問に限定して有効。
ENGLISH_G5_U08	5	ENGLISH	時こく	B	63	0		clock,schedule_timeline,calendar	english-support,flow-diagram,specialized			時刻・曜日・日付を扱う設問に限定して有効。
ENGLISH_G5_U09	5	ENGLISH	できること	C	64	0						会話・語彙・表現そのものを中心にし、必要なら静止イラストを使う。
ENGLISH_G5_U10	5	ENGLISH	行きたい場所	B	64	0		picture_card,category_grid	english-support			語彙の意味確認に視覚支援は有効だが、動的生成は限定的でよい。
ENGLISH_G5_U11	5	ENGLISH	リスニング総仕上げ	C	194	0						音声・発話・本文を主役にし、動的visualは原則使わない。
ENGLISH_G5_U12	5	ENGLISH	発声総仕上げ	C	194	0						音声・発話・本文を主役にし、動的visualは原則使わない。
ENGLISH_G5_U13	5	ENGLISH	復唱問題総仕上げ	C	291	0						音声・発話・本文を主役にし、動的visualは原則使わない。
ENGLISH_G5_U14	5	ENGLISH	応答問題総仕上げ	C	18	0						音声・発話・本文を主役にし、動的visualは原則使わない。
ENGLISH_G6_U01	6	ENGLISH	自己紹介	C	64	0						会話・語彙・表現そのものを中心にし、必要なら静止イラストを使う。
