KOKUGO_G1_U01	ひらがな	「あさ」の はじめの もじは？ || 「いぬ」の はじめの もじは？ || 「うみ」の はじめの もじは？ || 「えき」の はじめの もじは？ || 「おに」の はじめの もじは？
KOKUGO_G1_U02	ことばあつめ	「あめ」と おなじ もじから はじまる ことばは？ || 「いぬ」と おなじ もじから はじまる ことばは？ || 「うみ」と おなじ もじから はじまる ことばは？ || 「えき」と おなじ もじから はじまる ことばは？ || 「おに」と おなじ もじから はじまる ことばは？
KOKUGO_G1_U03	のばすおん（ー）	「ケ□キ」の □に「ー」を いれた ことばは？ || 「ケーキ」に ある しるしは？ || 「ケーキ」で「ー」の まえに ある もじは？ || 「ケーキ」の よみかたで よいのは？ || たべものの「ケ□キ」で、□に はいる しるしは？
KOKUGO_G1_U04	ちいさい「っ」	「き□て」の □に「っ」を いれた ことばは？ || 「きって」の ちいさい もじは？ || 「きて」に「っ」を いれて できる ことばは？ || 「きって」を よむ とき「っ」で どうする？ || ただしく かいてある ことばは？「きって」
KOKUGO_G1_U05	「は・を・へ」のつかいかた	「わたし__ いちねんせいです。」 __に はいる もじは？
KOKUGO_G1_U06	かたかな	ひらがなの「あ」と おなじ おとの カタカナは？ || カタカナの ならびで「ア」の つぎは？ || 「ウ」から はじまる カタカナの ことばを えらぶ とき、はじめに みる もじは？ || ひらがなの「え」と おなじ おとの カタカナは？ || カタカナの ならびで「エ」の つぎは？
KOKUGO_G1_U07	おはなしをよむ	おはなし 1で、でてくる ひとは？ || おはなし 1で、できごとが おきた ばしょは？ || おはなし 1で、したことは？ || おはなし 1で、そのことを した わけは？ || おはなし 1の おわりで、どんな きもちだと かんがえられる？
KOKUGO_G1_U08	せつめいぶんをよむ	「まず てを みずで ぬらします。つぎに せっけんで あらい、さいごに みずで ながします。」で、はじめに することは？ || 「まず てを みずで ぬらします。つぎに せっけんで あらい、さいごに みずで ながします。」で、つぎに することは？ || 「まず てを みずで ぬらします。つぎに せっけんで あらい、さいごに みずで ながします。」で、さいごに することは？ || 「まず てを みずで ぬらします。つぎに せっけんで あらい、さいごに みずで ながします。」は、なにを せつめいしている？ || 「まず てを みずで ぬらします。つぎに せっけんで あらい、さいごに みずで ながします。」で、じゅんばんを あらわす ことばは？
KOKUGO_G1_U09	ばめんをそうぞうしてよむ	「へやで そらを みると、まどに あめつぶが あたっています。まどを しめました。」どんな ばしょの ばめん？ || 「へやで そらを みると、まどに あめつぶが あたっています。まどを しめました。」どんな てんきだと わかる？ || 「へやで そらを みると、まどに あめつぶが あたっています。まどを しめました。」なにを している ばめん？ || 「へやで そらを みると、まどに あめつぶが あたっています。まどを しめました。」ばしょや うごきを かんがえる てがかりは？ || 「へやで そらを みると、まどに あめつぶが あたっています。まどを しめました。」いつごろの ばめん？
KOKUGO_G1_U10	たいせつなところをみつけてよむ	「うさぎの みみは ながく、ちいさな おとも よく ききます。」いちばん たいせつな ことは？ || 「うさぎの みみは ながく、ちいさな おとも よく ききます。」に かいてある くわしい ことは？ || 「うさぎの みみは ながく、ちいさな おとも よく ききます。」に つける だいで よいものは？ || 「うさぎの みみは ながく、ちいさな おとも よく ききます。」で、たいせつな ものを あらわす ことばは？ || 「うさぎの みみは ながく、ちいさな おとも よく ききます。」を みじかく まとめたものは？
KOKUGO_G1_U11	ぶんをかく	「わたし・ほん・よむ」を つかって かいた ぶんは？ || 「わたしは ほんを よみます。」で、だれや なにを あらわす まとまりは？ || 「わたしは ほんを よみます。」で、したことを あらわす まとまりは？ || 「わたしは ほんを よみます。」に ようすを くわしく たす ことばは？ || 「わたしは ほんを よみます。」を くわしく した ぶんは？
